GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
51001,2000,Accomack County,Virginia,38305.0,18.0,3817.0,24.95,446.0,30250.0,79300.0,23.3,61.86,31.43,5.38,0.28,0.22,0.03,0.7,0.09,78.0,68.0,1.78,2.04,0,0,0
51001,2001,Accomack County,Virginia,38305.0,18.0,3819.0,24.95,446.0,30250.0,79300.0,23.3,61.86,31.43,5.38,0.28,0.22,0.03,0.7,0.09,111.0,102.0,2.67,2.91,0,0,0
51001,2002,Accomack County,Virginia,38305.0,18.0,3821.0,24.95,446.0,30250.0,79300.0,23.3,61.86,31.43,5.38,0.28,0.22,0.03,0.7,0.09,93.0,85.0,2.22,2.43,0,0,0
51001,2003,Accomack County,Virginia,38305.0,18.0,3822.0,24.95,446.0,30250.0,79300.0,23.3,61.86,31.43,5.38,0.28,0.22,0.03,0.7,0.09,88.0,83.0,2.17,2.3,0,0,0
51001,2004,Accomack County,Virginia,38305.0,18.0,3824.0,24.95,446.0,30250.0,79300.0,23.3,61.86,31.43,5.38,0.28,0.22,0.03,0.7,0.09,98.0,65.0,1.7,2.56,0,0,0
51001,2005,Accomack County,Virginia,38522.0,10.7,3826.0,24.16,688.0,40343.0,145600.0,24.7,61.02,28.75,8.81,0.09,0.29,0.0,0.9,0.13,112.0,78.0,2.04,2.93,0,0,0
51001,2006,Accomack County,Virginia,38522.0,10.7,3828.0,24.16,688.0,40343.0,145600.0,24.7,61.02,28.75,8.81,0.09,0.29,0.0,0.9,0.13,117.0,71.0,1.85,3.06,0,0,0
51001,2007,Accomack County,Virginia,38522.0,10.7,3830.0,24.16,688.0,40343.0,145600.0,24.7,61.02,28.75,8.81,0.09,0.29,0.0,0.9,0.13,131.0,101.0,2.64,3.42,0,0,0
51001,2008,Accomack County,Virginia,38522.0,10.7,3831.0,24.16,688.0,40343.0,145600.0,24.7,61.02,28.75,8.81,0.09,0.29,0.0,0.9,0.13,99.0,91.0,2.38,2.58,0,0,0
51001,2009,Accomack County,Virginia,38522.0,10.7,3833.0,24.16,688.0,40343.0,145600.0,24.7,61.02,28.75,8.81,0.09,0.29,0.0,0.9,0.13,141.0,134.0,3.5,3.68,0,0,0
51001,2010,Accomack County,Virginia,33164.0,12.77,3835.0,27.79,741.0,40780.0,153800.0,26.2,61.11,27.9,8.59,0.29,0.53,0.1,1.34,0.13,125.0,117.0,3.05,3.26,1,0,0
51001,2011,Accomack County,Virginia,33115.0,12.25,3896.0,28.95,733.0,39412.0,153300.0,27.3,60.91,28.59,8.78,0.4,0.14,0.0,1.14,0.03,148.0,99.0,2.54,3.8,1,0,0
51001,2012,Accomack County,Virginia,33115.0,12.25,3957.0,28.95,733.0,39412.0,153300.0,27.3,60.91,28.59,8.78,0.4,0.14,0.0,1.14,0.03,140.0,127.0,3.21,3.54,1,0,0
51001,2013,Accomack County,Virginia,33115.0,12.25,4019.0,28.95,733.0,39412.0,153300.0,27.3,60.91,28.59,8.78,0.4,0.14,0.0,1.14,0.03,116.0,105.0,2.61,2.89,1,0,0
51001,2014,Accomack County,Virginia,33115.0,12.25,4080.0,28.95,733.0,39412.0,153300.0,27.3,60.91,28.59,8.78,0.4,0.14,0.0,1.14,0.03,179.0,114.0,2.79,4.39,0,0,0
51001,2015,Accomack County,Virginia,33115.0,12.25,4141.0,28.95,733.0,39412.0,153300.0,27.3,60.91,28.59,8.78,0.4,0.14,0.0,1.14,0.03,203.0,60.0,1.45,4.9,0,0,0
51001,2016,Accomack County,Virginia,33115.0,12.25,4202.0,28.95,733.0,39412.0,153300.0,27.3,60.91,28.59,8.78,0.4,0.14,0.0,1.14,0.03,206.0,95.0,2.26,4.9,0,0,0
51003,2000,Albemarle County,Virginia,79236.0,6.74,10887.0,34.15,712.0,50749.0,161100.0,25.7,83.57,9.57,2.56,0.14,2.86,0.01,1.11,0.17,473.0,359.0,3.3,4.34,0,0,0
51003,2001,Albemarle County,Virginia,79236.0,6.74,11108.0,34.15,712.0,50749.0,161100.0,25.7,83.57,9.57,2.56,0.14,2.86,0.01,1.11,0.17,660.0,406.0,3.65,5.94,0,0,0
51003,2002,Albemarle County,Virginia,79236.0,6.74,11329.0,34.15,712.0,50749.0,161100.0,25.7,83.57,9.57,2.56,0.14,2.86,0.01,1.11,0.17,1224.0,436.0,3.85,10.8,0,0,0
51003,2003,Albemarle County,Virginia,79236.0,6.74,11550.0,34.15,712.0,50749.0,161100.0,25.7,83.57,9.57,2.56,0.14,2.86,0.01,1.11,0.17,1123.0,423.0,3.66,9.72,0,0,0
51003,2004,Albemarle County,Virginia,79236.0,6.74,11771.0,34.15,712.0,50749.0,161100.0,25.7,83.57,9.57,2.56,0.14,2.86,0.01,1.11,0.17,1092.0,500.0,4.25,9.28,0,0,0
51003,2005,Albemarle County,Virginia,92866.0,4.69,11992.0,35.1,978.0,64306.0,336100.0,28.2,80.47,9.46,3.66,0.07,4.45,0.02,1.66,0.21,1245.0,509.0,4.24,10.38,0,0,0
51003,2006,Albemarle County,Virginia,92866.0,4.69,12213.0,35.1,978.0,64306.0,336100.0,28.2,80.47,9.46,3.66,0.07,4.45,0.02,1.66,0.21,1149.0,497.0,4.07,9.41,0,0,0
51003,2007,Albemarle County,Virginia,92866.0,4.69,12433.0,35.1,978.0,64306.0,336100.0,28.2,80.47,9.46,3.66,0.07,4.45,0.02,1.66,0.21,706.0,459.0,3.69,5.68,0,0,0
51003,2008,Albemarle County,Virginia,92866.0,4.69,12654.0,35.1,978.0,64306.0,336100.0,28.2,80.47,9.46,3.66,0.07,4.45,0.02,1.66,0.21,944.0,617.0,4.88,7.46,0,0,0
51003,2009,Albemarle County,Virginia,92866.0,4.69,12875.0,35.1,978.0,64306.0,336100.0,28.2,80.47,9.46,3.66,0.07,4.45,0.02,1.66,0.21,575.0,392.0,3.04,4.47,0,0,0
51003,2010,Albemarle County,Virginia,98970.0,5.5,13096.0,34.32,1080.0,67797.0,332400.0,29.0,77.93,9.59,5.47,0.15,4.64,0.04,1.99,0.17,632.0,390.0,2.98,4.83,1,0,0
51003,2011,Albemarle County,Virginia,103108.0,6.85,13400.0,34.93,1117.0,68449.0,313800.0,29.3,77.41,9.25,5.67,0.18,4.44,0.01,2.73,0.29,1180.0,445.0,3.32,8.81,1,0,0
51003,2012,Albemarle County,Virginia,103108.0,6.85,13704.0,34.93,1117.0,68449.0,313800.0,29.3,77.41,9.25,5.67,0.18,4.44,0.01,2.73,0.29,799.0,426.0,3.11,5.83,1,0,0
51003,2013,Albemarle County,Virginia,103108.0,6.85,14008.0,34.93,1117.0,68449.0,313800.0,29.3,77.41,9.25,5.67,0.18,4.44,0.01,2.73,0.29,1228.0,381.0,2.72,8.77,0,0,0
51003,2014,Albemarle County,Virginia,103108.0,6.85,14311.0,34.93,1117.0,68449.0,313800.0,29.3,77.41,9.25,5.67,0.18,4.44,0.01,2.73,0.29,1312.0,424.0,2.96,9.17,0,0,0
51003,2015,Albemarle County,Virginia,103108.0,6.85,14615.0,34.93,1117.0,68449.0,313800.0,29.3,77.41,9.25,5.67,0.18,4.44,0.01,2.73,0.29,1254.0,390.0,2.67,8.58,0,0,0
51003,2016,Albemarle County,Virginia,103108.0,6.85,14919.0,34.93,1117.0,68449.0,313800.0,29.3,77.41,9.25,5.67,0.18,4.44,0.01,2.73,0.29,1308.0,328.0,2.2,8.77,0,0,0
51005,2000,Alleghany County,Virginia,12926.0,7.14,1468.0,15.15,360.0,38545.0,77500.0,18.5,96.15,2.43,0.36,0.21,0.23,0.02,0.52,0.09,47.0,41.0,2.79,3.2,0,0,0
51005,2001,Alleghany County,Virginia,12926.0,7.14,1475.0,15.15,360.0,38545.0,77500.0,18.5,96.15,2.43,0.36,0.21,0.23,0.02,0.52,0.09,70.0,42.0,2.85,4.74,0,0,0
51005,2002,Alleghany County,Virginia,12926.0,7.14,1483.0,15.15,360.0,38545.0,77500.0,18.5,96.15,2.43,0.36,0.21,0.23,0.02,0.52,0.09,79.0,49.0,3.3,5.33,0,0,0
51005,2003,Alleghany County,Virginia,12926.0,7.14,1490.0,15.15,360.0,38545.0,77500.0,18.5,96.15,2.43,0.36,0.21,0.23,0.02,0.52,0.09,64.0,49.0,3.29,4.29,0,0,0
51005,2004,Alleghany County,Virginia,12926.0,7.14,1498.0,15.15,360.0,38545.0,77500.0,18.5,96.15,2.43,0.36,0.21,0.23,0.02,0.52,0.09,95.0,44.0,2.94,6.34,0,0,0
51005,2005,Alleghany County,Virginia,16397.0,8.61,1505.0,18.37,468.0,42005.0,103800.0,23.9,92.14,6.34,0.21,0.02,0.52,0.0,0.68,0.07,78.0,43.0,2.86,5.18,0,0,0
51005,2006,Alleghany County,Virginia,16397.0,8.61,1512.0,18.37,468.0,42005.0,103800.0,23.9,92.14,6.34,0.21,0.02,0.52,0.0,0.68,0.07,117.0,65.0,4.3,7.74,0,0,0
51005,2007,Alleghany County,Virginia,16397.0,8.61,1520.0,18.37,468.0,42005.0,103800.0,23.9,92.14,6.34,0.21,0.02,0.52,0.0,0.68,0.07,71.0,60.0,3.95,4.67,0,0,0
51005,2008,Alleghany County,Virginia,16397.0,8.61,1527.0,18.37,468.0,42005.0,103800.0,23.9,92.14,6.34,0.21,0.02,0.52,0.0,0.68,0.07,52.0,45.0,2.95,3.4,0,0,0
51005,2009,Alleghany County,Virginia,16397.0,8.61,1535.0,18.37,468.0,42005.0,103800.0,23.9,92.14,6.34,0.21,0.02,0.52,0.0,0.68,0.07,66.0,49.0,3.19,4.3,0,0,0
51005,2010,Alleghany County,Virginia,16250.0,7.6,1542.0,22.38,546.0,46133.0,117700.0,25.9,92.55,4.62,1.08,0.15,0.23,0.07,1.26,0.04,57.0,47.0,3.05,3.7,1,0,0
51005,2011,Alleghany County,Virginia,16066.0,13.22,1560.0,21.29,591.0,45007.0,112000.0,28.3,92.0,5.29,1.44,0.02,0.23,0.04,0.91,0.07,72.0,48.0,3.08,4.62,1,0,0
51005,2012,Alleghany County,Virginia,16066.0,13.22,1577.0,21.29,591.0,45007.0,112000.0,28.3,92.0,5.29,1.44,0.02,0.23,0.04,0.91,0.07,54.0,46.0,2.92,3.42,1,0,0
51005,2013,Alleghany County,Virginia,16066.0,13.22,1595.0,21.29,591.0,45007.0,112000.0,28.3,92.0,5.29,1.44,0.02,0.23,0.04,0.91,0.07,50.0,48.0,3.01,3.14,1,0,0
51005,2014,Alleghany County,Virginia,16066.0,13.22,1612.0,21.29,591.0,45007.0,112000.0,28.3,92.0,5.29,1.44,0.02,0.23,0.04,0.91,0.07,,,,,0,0,0
51005,2015,Alleghany County,Virginia,16066.0,13.22,1630.0,21.29,591.0,45007.0,112000.0,28.3,92.0,5.29,1.44,0.02,0.23,0.04,0.91,0.07,,,,,0,0,0
51005,2016,Alleghany County,Virginia,16066.0,13.22,1647.0,21.29,591.0,45007.0,112000.0,28.3,92.0,5.29,1.44,0.02,0.23,0.04,0.91,0.07,,,,,0,0,0
51007,2000,Amelia County,Virginia,11400.0,8.41,766.0,18.07,480.0,40252.0,92400.0,20.2,70.24,27.92,0.8,0.28,0.17,0.02,0.54,0.04,24.0,24.0,3.13,3.13,0,0,0
51007,2001,Amelia County,Virginia,11400.0,8.41,779.0,18.07,480.0,40252.0,92400.0,20.2,70.24,27.92,0.8,0.28,0.17,0.02,0.54,0.04,18.0,15.0,1.92,2.31,0,0,0
51007,2002,Amelia County,Virginia,11400.0,8.41,793.0,18.07,480.0,40252.0,92400.0,20.2,70.24,27.92,0.8,0.28,0.17,0.02,0.54,0.04,31.0,16.0,2.02,3.91,0,0,0
51007,2003,Amelia County,Virginia,11400.0,8.41,806.0,18.07,480.0,40252.0,92400.0,20.2,70.24,27.92,0.8,0.28,0.17,0.02,0.54,0.04,52.0,33.0,4.09,6.45,0,0,0
51007,2004,Amelia County,Virginia,11400.0,8.41,820.0,18.07,480.0,40252.0,92400.0,20.2,70.24,27.92,0.8,0.28,0.17,0.02,0.54,0.04,38.0,25.0,3.05,4.64,0,0,0
51007,2005,Amelia County,Virginia,12581.0,9.12,833.0,19.3,705.0,48897.0,170000.0,23.5,74.09,22.03,2.93,0.1,0.31,0.0,0.54,0.0,50.0,27.0,3.24,6.0,0,0,0
51007,2006,Amelia County,Virginia,12581.0,9.12,846.0,19.3,705.0,48897.0,170000.0,23.5,74.09,22.03,2.93,0.1,0.31,0.0,0.54,0.0,36.0,19.0,2.24,4.25,0,0,0
51007,2007,Amelia County,Virginia,12581.0,9.12,860.0,19.3,705.0,48897.0,170000.0,23.5,74.09,22.03,2.93,0.1,0.31,0.0,0.54,0.0,24.0,20.0,2.33,2.79,0,0,0
51007,2008,Amelia County,Virginia,12581.0,9.12,873.0,19.3,705.0,48897.0,170000.0,23.5,74.09,22.03,2.93,0.1,0.31,0.0,0.54,0.0,30.0,29.0,3.32,3.44,0,0,0
51007,2009,Amelia County,Virginia,12581.0,9.12,887.0,19.3,705.0,48897.0,170000.0,23.5,74.09,22.03,2.93,0.1,0.31,0.0,0.54,0.0,46.0,32.0,3.61,5.19,0,0,0
51007,2010,Amelia County,Virginia,12690.0,8.52,900.0,18.67,823.0,50596.0,201100.0,24.5,72.76,23.05,2.29,0.31,0.21,0.0,1.31,0.08,45.0,32.0,3.56,5.0,0,0,0
51007,2011,Amelia County,Virginia,12777.0,9.66,918.0,18.71,693.0,56850.0,170800.0,46.5,72.33,24.32,1.02,0.44,0.1,0.0,1.49,0.3,40.0,22.0,2.4,4.36,0,0,0
51007,2012,Amelia County,Virginia,12777.0,9.66,935.0,18.71,693.0,56850.0,170800.0,46.5,72.33,24.32,1.02,0.44,0.1,0.0,1.49,0.3,37.0,24.0,2.57,3.96,0,0,0
51007,2013,Amelia County,Virginia,12777.0,9.66,953.0,18.71,693.0,56850.0,170800.0,46.5,72.33,24.32,1.02,0.44,0.1,0.0,1.49,0.3,46.0,26.0,2.73,4.83,0,0,0
51007,2014,Amelia County,Virginia,12777.0,9.66,971.0,18.71,693.0,56850.0,170800.0,46.5,72.33,24.32,1.02,0.44,0.1,0.0,1.49,0.3,37.0,28.0,2.88,3.81,0,0,0
51007,2015,Amelia County,Virginia,12777.0,9.66,988.0,18.71,693.0,56850.0,170800.0,46.5,72.33,24.32,1.02,0.44,0.1,0.0,1.49,0.3,44.0,30.0,3.04,4.45,0,0,0
51007,2016,Amelia County,Virginia,12777.0,9.66,1006.0,18.71,693.0,56850.0,170800.0,46.5,72.33,24.32,1.02,0.44,0.1,0.0,1.49,0.3,38.0,24.0,2.39,3.78,0,0,0
51009,2000,Amherst County,Virginia,31894.0,10.69,2616.0,21.91,427.0,37393.0,88800.0,21.4,77.27,19.65,0.96,0.78,0.34,0.02,0.8,0.18,121.0,99.0,3.78,4.63,0,0,0
51009,2001,Amherst County,Virginia,31894.0,10.69,2650.0,21.91,427.0,37393.0,88800.0,21.4,77.27,19.65,0.96,0.78,0.34,0.02,0.8,0.18,142.0,110.0,4.15,5.36,0,0,0
51009,2002,Amherst County,Virginia,31894.0,10.69,2685.0,21.91,427.0,37393.0,88800.0,21.4,77.27,19.65,0.96,0.78,0.34,0.02,0.8,0.18,284.0,153.0,5.7,10.58,0,0,0
51009,2003,Amherst County,Virginia,31894.0,10.69,2719.0,21.91,427.0,37393.0,88800.0,21.4,77.27,19.65,0.96,0.78,0.34,0.02,0.8,0.18,307.0,153.0,5.63,11.29,0,0,0
51009,2004,Amherst County,Virginia,31894.0,10.69,2754.0,21.91,427.0,37393.0,88800.0,21.4,77.27,19.65,0.96,0.78,0.34,0.02,0.8,0.18,365.0,186.0,6.75,13.26,0,0,0
51009,2005,Amherst County,Virginia,32185.0,8.12,2788.0,22.62,567.0,45947.0,136500.0,23.1,76.68,18.81,1.4,0.76,0.33,0.0,1.41,0.61,343.0,157.0,5.63,12.3,0,0,0
51009,2006,Amherst County,Virginia,32185.0,8.12,2822.0,22.62,567.0,45947.0,136500.0,23.1,76.68,18.81,1.4,0.76,0.33,0.0,1.41,0.61,371.0,164.0,5.81,13.14,0,0,0
51009,2007,Amherst County,Virginia,32185.0,8.12,2857.0,22.62,567.0,45947.0,136500.0,23.1,76.68,18.81,1.4,0.76,0.33,0.0,1.41,0.61,,,,,0,0,0
51009,2008,Amherst County,Virginia,32185.0,8.12,2891.0,22.62,567.0,45947.0,136500.0,23.1,76.68,18.81,1.4,0.76,0.33,0.0,1.41,0.61,,,,,0,0,0
51009,2009,Amherst County,Virginia,32185.0,8.12,2926.0,22.62,567.0,45947.0,136500.0,23.1,76.68,18.81,1.4,0.76,0.33,0.0,1.41,0.61,,,,,0,0,0
